"ID","REFERENCE","INVOICE_DATE","ORDER_ID","AMOUNT","DESCRIPTION","STATUS","HOLD_REASON"
355,INV_PO013.1,2022-09-28 00:00:00.000,158,,Car purchase,Paid,
356,INV_PO006.6,2022-08-16 00:00:00.000,138,,Sixth delivery,Paid,
357,INV_PO006.6,2022-08-16 00:00:00.000,341,,Sixth delivery,Paid,
358,,,378,,,,
359,INV_PO007.1,2022-07-30 00:00:00.000,287,3700,Trip for Mikaen,Paid,
360,INV_PO006.2,2022-04-18 00:00:00.000,160,4300,Second delivery,Paid,
361,INV_PO006.2,2022-04-18 00:00:00.000,444,4300,Second delivery,Paid,
362,INV_PO006.2,2022-04-18 00:00:00.000,480,4300,Second delivery,Paid,
363,INV_PO014.1,2022-10-03 00:00:00.000,325,,Invoice payment SN#001,Paid,
364,INV_PO014.1,2022-10-03 00:00:00.000,359,,Invoice payment SN#001,Paid,
365,INV_PO014.1,2022-10-03 00:00:00.000,408,,Invoice payment SN#001,Paid,
366,INV_PO014.2,2022-10-15 00:00:00.000,263,13250,Invoice payment SN#002,Paid,
367,INV_PO014.2,2022-10-15 00:00:00.000,326,13250,Invoice payment SN#002,Paid,
368,INV_PO014.2,2022-10-15 00:00:00.000,457,13250,Invoice payment SN#002,Paid,
369,INV_PO014.2,2022-10-15 00:00:00.000,146,,Invoice payment SN#002,Paid,
370,INV_PO014.2,2022-10-15 00:00:00.000,165,,Invoice payment SN#002,Paid,
371,INV_PO014.2,2022-10-15 00:00:00.000,260,,Invoice payment SN#002,Paid,
372,INV_PO014.2,2022-10-15 00:00:00.000,362,,Invoice payment SN#002,Paid,
373,INV_PO014.2,2022-10-15 00:00:00.000,386,,Invoice payment SN#002,Paid,
374,INV_PO014.2,2022-10-15 00:00:00.000,417,,Invoice payment SN#002,Paid,
375,INV_PO014.3,2022-10-27 00:00:00.000,494,15900,Invoice payment SN#003,Paid,
376,INV_PO014.3,2022-10-27 00:00:00.000,329,15900,Invoice payment SN#003,Paid,
377,INV_PO014.4,2022-11-05 00:00:00.000,535,13850,Invoice payment SN#004,Pending,"1 faulty HD to return before payment"
378,INV_PO014.4,2022-11-05 00:00:00.000,536,13850,Invoice payment SN#004,Pending,"1 faulty HD to return before payment"
379,INV_PO014.4,2022-11-05 00:00:00.000,149,13850,Invoice payment SN#004,Pending,"1 faulty HD to return before payment"
380,,,208,,,,
381,,,292,,,,
382,INV_PO014.3,2022-10-27 00:00:00.000,208,,Invoice payment SN#003,Paid,
383,INV_PO014.3,2022-10-27 00:00:00.000,359,,Invoice payment SN#003,Paid,
384,INV_PO014.1,2022-10-03 00:00:00.000,164,17300,Invoice payment SN#001,Paid,
385,INV_PO014.1,2022-10-03 00:00:00.000,382,17300,Invoice payment SN#001,Paid,
386,INV_PO014.1,2022-10-03 00:00:00.000,527,13500,Invoice payment SN#001,Paid,
387,INV_PO014.1,2022-10-03 00:00:00.000,143,13500,Invoice payment SN#001,Paid,
388,INV_PO014.1,2022-10-03 00:00:00.000,263,13500,Invoice payment SN#001,Paid,
389,INV_PO014.1,2022-10-03 00:00:00.000,381,13500,Invoice payment SN#001,Paid,
390,INV_PO014.1,2022-10-03 00:00:00.000,181,4275,Invoice payment SN#001,Paid,
391,INV_PO014.1,2022-10-03 00:00:00.000,388,4275,Invoice payment SN#001,Paid,
392,INV_PO014.3,2022-10-27 00:00:00.000,146,900,Invoice payment SN#003,Pending,Pointers not compatible with system
393,INV_PO014.3,2022-10-27 00:00:00.000,180,900,Invoice payment SN#003,Pending,Pointers not compatible with system
394,INV_PO014.3,2022-10-27 00:00:00.000,196,900,Invoice payment SN#003,Pending,Pointers not compatible with system
395,INV_PO014.3,2022-10-27 00:00:00.000,362,900,Invoice payment SN#003,Pending,Pointers not compatible with system
396,INV_PO014.3,2022-10-27 00:00:00.000,387,900,Invoice payment SN#003,Pending,Pointers not compatible with system
397,INV_PO014.4,2022-11-05 00:00:00.000,165,,Invoice payment SN#004,Paid,
398,INV_PO014.4,2022-11-05 00:00:00.000,180,,Invoice payment SN#004,Paid,
399,INV_PO014.4,2022-11-05 00:00:00.000,196,,Invoice payment SN#004,Paid,
400,INV_PO014.4,2022-11-05 00:00:00.000,198,,Invoice payment SN#004,Paid,
401,INV_PO014.4,2022-11-05 00:00:00.000,260,,Invoice payment SN#004,Paid,
402,INV_PO014.4,2022-11-05 00:00:00.000,295,,Invoice payment SN#004,Paid,
403,INV_PO014.4,2022-11-05 00:00:00.000,388,,Invoice payment SN#004,Paid,
404,INV_PO014.4,2022-11-05 00:00:00.000,211,11900,Invoice payment SN#004,Paid,
405,INV_PO014.4,2022-11-05 00:00:00.000,383,11900,Invoice payment SN#004,Paid,
406,INV_PO014.4,2022-11-05 00:00:00.000,415,11900,Invoice payment SN#004,Paid,
407,INV_PO014.1,2022-10-03 00:00:00.000,497,7920,Invoice payment SN#001,Paid,
408,INV_PO014.1,2022-10-03 00:00:00.000,498,7920,Invoice payment SN#001,Paid,
409,INV_PO014.1,2022-10-03 00:00:00.000,246,7920,Invoice payment SN#001,Paid,
410,INV_PO014.1,2022-10-03 00:00:00.000,329,7920,Invoice payment SN#001,Paid,
411,INV_PO014.1,2022-10-03 00:00:00.000,389,7920,Invoice payment SN#001,Paid,
412,INV_PO014.1,2022-10-03 00:00:00.000,419,7920,Invoice payment SN#001,Paid,
413,INV_PO014.2,2022-10-15 00:00:00.000,496,3550,Invoice payment SN#002,Pending,
414,INV_PO014.2,2022-10-15 00:00:00.000,147,3550,Invoice payment SN#002,Pending,
415,INV_PO014.2,2022-10-15 00:00:00.000,246,3550,Invoice payment SN#002,Pending,
416,INV_PO014.1,2022-10-03 00:00:00.000,496,,Invoice payment SN#001,Paid,
417,INV_PO014.3,2022-10-27 00:00:00.000,499,5300,Invoice payment SN#003,Paid,
418,INV_PO014.3,2022-10-27 00:00:00.000,363,5300,Invoice payment SN#003,Paid,
419,INV_PO014.3,2022-10-27 00:00:00.000,412,5300,Invoice payment SN#003,Paid,
420,INV_PO014.1,2022-10-03 00:00:00.000,234,72500,Invoice payment SN#001,Pending,
421,INV_PO014.1,2022-10-03 00:00:00.000,290,72500,Invoice payment SN#001,Pending,
422,INV_PO014.1,2022-10-03 00:00:00.000,412,72500,Invoice payment SN#001,Pending,
423,INV_PO014.1,2022-10-03 00:00:00.000,420,72500,Invoice payment SN#001,Pending,
424,,,532,,,,
425,,,535,,,,
426,,,390,,,,
427,INV_PO001,2022-02-28 00:00:00.000,467,600,Part payment for vehicle spare parts,Paid,
428,,,504,,,,
429,,,468,,,,
430,INV_PO003.1,2022-03-22 00:00:00.000,304,,Purchase of screens.,Paid,
431,INV_PO003.1,2022-03-22 00:00:00.000,393,20300,Purchase of screens.,Paid,
432,INV_PO003.1,2022-03-22 00:00:00.000,424,5000,Purchase of screens.,Paid,
433,INV_PO001,2022-02-28 00:00:00.000,506,,Part payment for vehicle spare parts,Paid,
434,INV_PO001,2022-02-28 00:00:00.000,251,,Part payment for vehicle spare parts,Paid,
435,,,332,,,,
436,INV_PO001,2022-02-28 00:00:00.000,252,800,Part payment for vehicle spare parts,Paid,
437,INV_PO001,2022-02-28 00:00:00.000,334,800,Part payment for vehicle spare parts,Paid,
438,INV_PO002.2,2022-05-02 00:00:00.000,365,,Part payment for purchase of car,Paid,
439,INV_PO005.1,2022-05-18 00:00:00.000,335,,,Pending,Damaged magazine
440,INV_PO002.3,2022-08-05 00:00:00.000,365,249000,Final payment for purchase of car,Pending,
441,,,370,,,,
442,INV_PO005.2,2022-06-22 00:00:00.000,431,8000,,Paid,
443,INV_PO001.1,2022-04-04 00:00:00.000,546,1100,Final payment for vehicle spare parts,Paid,
444,INV_PO006.1,2022-03-22 00:00:00.000,482,24300,First delivery,Paid,
445,INV_PO006.1,2022-03-22 00:00:00.000,177,24300,First delivery,Paid,
446,INV_PO006.1,2022-03-22 00:00:00.000,352,24300,First delivery,Paid,
447,,,548,,,,
448,,,274,,,,
449,INV_PO008.1,2022-08-02 00:00:00.000,401,15250,Computer oders invoice - 1,Paid,
450,INV_PO008.1,2022-08-02 00:00:00.000,139,25000,Computer oders invoice - 1,Paid,
451,,,308,,,,
452,INV_PO009.1,2022-08-24 00:00:00.000,254,,Security vests,Paid,
