"ID","REFERENCE","ORDER_DATE","SUPPLIER_ID","TOTAL_AMOUNT","DESCRIPTION","STATUS"
482,PO006-1,2022-02-16 00:00:00.000,96,,Packet 4,Received
483,PO012-1,2022-08-16 00:00:00.000,105,,Wheels and balancing,Received
484,PO012-2,2022-08-16 00:00:00.000,107,,Servicing of cars,Received
485,PO012-2,2022-08-16 00:00:00.000,105,,Dashboard for cards,Received
486,PO012-3,2022-08-16 00:00:00.000,94,,High pressure fuel injector nozzle OEM x 10,Received
487,PO012-3,2022-08-16 00:00:00.000,105,,High pressure fuel injector nozzle OEM x 10,Received
488,PO012-5,2022-08-16 00:00:00.000,92,,Aluminium alloy set x 5,Received
489,PO012-5,2022-08-16 00:00:00.000,107,,Aluminium alloy set x 5,Received
490,PO013,2022-08-20 00:00:00.000,103,,Purchase of Cars,Closed
491,PO013-4,2022-08-20 00:00:00.000,103,,Hyundai Tucson,Received
492,PO007-3,2022-06-03 00:00:00.000,113,,Employee journey taxi service,Cancelled
493,PO014-2,2022-09-15 00:00:00.000,95,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
494,PO014-4,2022-09-15 00:00:00.000,98,,"3TB SATA HARD DISK x 4",Received
495,PO014-5,2022-09-15 00:00:00.000,111,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
496,PO014-4,2022-09-15 00:00:00.000,95,,ASUS H81M-A (INTEL H81) LGA1150 MATX x 2,Received
497,PO014-4,2022-09-15 00:00:00.000,111,,HP ADVANTAGE 4535 ALL-IN-ONE INKJET PRINTER,Received
498,PO014-4,2022-09-15 00:00:00.000,111,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
499,PO014-5,2022-09-15 00:00:00.000,108,,EPSON LQ310 DOT MATRIX PRINTER,Received
500,PO014-5,2022-09-15 00:00:00.000,98,,LENOVO B50-30 x 5,Received
501,PO001,2022-01-03 00:00:00.000,94,,Vehicle Spare parts,Closed
502,PO001-1,2022-01-03 00:00:00.000,105,,Back lights,Received
503,PO001-1,2022-01-03 00:00:00.000,107,,Back lights,Received
504,PO002,2022-01-10 00:00:00.000,103,750000,Purchase of Car,Open
505,PO003-3,2022-01-24 00:00:00.000,95,,"Screens 15""",Received
506,PO001-3,2022-01-03 00:00:00.000,92,,Fuel filter,Received
507,PO001-4,2022-01-03 00:00:00.000,94,,Air filter,Received
508,PO003-4,2022-01-24 00:00:00.000,98,,"Screens 35""",Received
509,PO007,2022-06-03 00:00:00.000,113,26700,Taxi services fees,Closed
510,PO008,2022-06-05 00:00:00.000,110,85200,Orders of computer spare parts,Open
511,PO009-1,2022-06-18 00:00:00.000,99,,Security vests for firewardens,Received
512,PO010-1,2022-07-03 00:00:00.000,115,,Air Conditioner Fan Capacitor x 1000,Received
513,PO012,2022-08-16 00:00:00.000,105,265000,Vehicle Spare parts,Open
514,PO012-1,2022-08-16 00:00:00.000,107,,Aluminium evaporator x 15,Received
515,PO012-1,2022-08-16 00:00:00.000,94,,Wheels and balancing,Received
516,PO012-2,2022-08-16 00:00:00.000,92,,Dashboard for cards,Received
517,PO012-3,2022-08-16 00:00:00.000,92,,High pressure fuel injector nozzle OEM x 10,Received
518,PO012-5,2022-08-16 00:00:00.000,105,,Aluminium alloy set x 5,Received
519,PO012-5,2022-08-16 00:00:00.000,94,,Master brake x 12,Received
520,PO012-5,2022-08-16 00:00:00.000,107,,Master brake x 12,Received
521,PO013-4,2022-08-20 00:00:00.000,116,,Hyundai Tucson,Received
522,PO007-4,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Received
523,PO007-4,2022-06-03 00:00:00.000,117,,Employee journey taxi service,Received
524,PO014-1,2022-09-15 00:00:00.000,111,,"2.5 EXTERNAL TOSHIBA 1TB HARD DISK USB 3.0 x 2",Received
525,PO014-3,2022-09-15 00:00:00.000,95,,NOTEBOOK SATA HDD - 500 GB x 5,Received
526,PO014-3,2022-09-15 00:00:00.000,98,,NOTEBOOK SATA HDD - 500 GB x 5,Received
527,PO014-2,2022-09-15 00:00:00.000,98,,VIEWSONIC PJD5155 PROJECTOR,Received
528,PO014-2,2022-09-15 00:00:00.000,95,,COOLER MASTER SEIDON120V V3 PLUS WATER-COOLING KIT x 5,Received
529,PO014-3,2022-09-15 00:00:00.000,111,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
530,PO014-4,2022-09-15 00:00:00.000,95,,HP ADVANTAGE 4535 ALL-IN-ONE INKJET PRINTER,Received
531,PO014-5,2022-09-15 00:00:00.000,111,,HP OFFICEJET PRO 6830 E-ALL-IN-ONE PRINTER,Received
532,PO014-5,2022-09-15 00:00:00.000,95,,EPSON LQ310 DOT MATRIX PRINTER,Received
533,PO014-5,2022-09-15 00:00:00.000,111,,LENOVO B50-30 x 5,Received
534,PO014-5,2022-09-15 00:00:00.000,95,,DELL N3543 CORE i5 x 3,Cancelled
535,PO014-5,2022-09-15 00:00:00.000,98,,DELL N3543 CORE i5 x 3,Cancelled
536,PO014-5,2022-09-15 00:00:00.000,111,,DELL N3543 CORE i5 x 3,Cancelled
537,PO002-1,2022-01-10 00:00:00.000,116,,Purchase of Car Model X,Received
538,PO003,2022-01-24 00:00:00.000,98,57300,Computer screens,Closed
539,PO003-2,2022-01-24 00:00:00.000,98,,"Screens 35""",Received
540,PO003-2,2022-01-24 00:00:00.000,108,,"Screens 35""",Received
541,PO004-2,2022-02-07 00:00:00.000,114,,Pencil HB boxes,Received
