"ID","ORDER_ID","LINE_AMOUNT"
1426,479,48000
1427,745,48000
1428,750,48000
1429,803,48000
1430,857,48000
1431,482,
1432,551,
1433,558,
1434,605,
1435,619,
1436,651,
1437,666,
1438,667,
1439,669,
1440,138,
1441,160,
1442,170,
1443,177,
1444,178,
1445,239,
1446,276,
1447,283,
1448,313,
1449,320,
1450,341,
1451,352,
1452,354,
1453,379,
1454,444,
1455,474,
1456,480,
1457,711,
1458,746,
1459,806,
1460,816,
1461,819,
1462,852,
1463,858,
1464,860,
1465,902,
1466,924,
1467,552,40000
1468,656,40000
1469,174,40000
1470,277,40000
1471,346,40000
1472,747,40000
1473,513,
1474,603,
1475,155,
1476,203,
1477,311,
1478,402,
1479,481,
1480,748,
1481,804,
1482,859,
1483,908,
1484,909,
1485,483,
1486,514,
1487,515,
1488,554,
1489,604,
1490,657,
1491,658,
1492,659,
1493,204,
1494,205,
1495,221,
1496,255,
1497,279,
1498,312,
1499,403,
1500,405,
1501,439,
1502,749,
1503,751,
1504,805,
1505,807,
1506,861,
1507,910,
1508,911,
1509,482,50200
1510,551,50200
1511,558,50200
1512,605,50200
1513,619,50200
1514,651,50200
1515,666,50200
1516,667,50200
1517,669,50200
1518,138,50200
1519,160,50200
1520,170,50200
1521,177,50200
1522,178,50200
1523,239,50200
1524,276,50200
1525,283,50200
1526,313,50200
1527,320,50200
1528,341,50200
1529,352,50200
1530,354,50200
1531,379,50200
1532,444,50200
1533,474,50200
1534,480,50200
1535,711,50200
1536,746,50200
1537,806,50200
1538,816,50200
1539,819,50200
1540,852,50200
1541,858,50200
1542,860,50200
1543,902,50200
1544,924,50200
1545,553,
1546,606,
1547,139,
1548,238,
1549,278,
1550,404,
1551,438,
1552,479,
1553,745,
1554,750,
1555,803,
1556,857,
1557,483,40000
1558,514,40000
1559,515,40000
1560,554,40000
1561,604,40000
1562,657,40000
1563,658,40000
1564,659,40000
1565,204,40000
1566,205,40000
1567,221,40000
1568,255,40000
1569,279,40000
1570,312,40000
1571,403,40000
1572,405,40000
1573,439,40000
1574,749,40000
1575,751,40000
1576,805,40000
1577,807,40000
1578,861,40000
1579,910,40000
1580,911,40000
1581,484,37800
1582,485,37800
1583,516,37800
1584,555,37800
1585,556,37800
1586,607,37800
1587,608,37800
1588,609,37800
1589,610,37800
1590,660,37800
1591,661,37800
1592,707,37800
1593,140,37800
1594,193,37800
1595,206,37800
1596,222,37800
1597,223,37800
1598,256,37800
1599,280,37800
1600,281,37800
1601,314,37800
1602,347,37800
1603,376,37800
1604,406,37800
1605,440,37800
1606,441,37800
1607,442,37800
1608,752,37800
1609,753,37800
1610,808,37800
1611,809,37800
1612,810,37800
1613,862,37800
1614,863,37800
1615,864,37800
1616,912,37800
1617,484,
1618,485,
1619,516,
1620,555,
1621,556,
1622,607,
1623,608,
1624,609,
1625,610,
1626,660,
1627,661,
1628,707,
1629,140,
1630,193,
1631,206,
1632,222,
1633,223,
1634,256,
1635,280,
1636,281,
1637,314,
1638,347,
1639,376,
1640,406,
1641,440,
1642,441,
1643,442,
1644,752,
1645,753,
1646,808,
1647,809,
1648,810,
1649,862,
1650,863,
1651,864,
1652,912,
1653,484,28000
1654,485,28000
1655,516,28000
1656,555,28000
1657,556,28000
1658,607,28000
1659,608,28000
1660,609,28000
1661,610,28000
1662,660,28000
1663,661,28000
1664,707,28000
1665,140,28000
1666,193,28000
1667,206,28000
1668,222,28000
1669,223,28000
1670,256,28000
1671,280,28000
1672,281,28000
1673,314,28000
1674,347,28000
1675,376,28000
1676,406,28000
1677,440,28000
